"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT22"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-27","17.67",,,"0.01","0.0",,,"53","38","  300","  300","33.1","44.1","    1",,,,,,,,,"    1",,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-28","9.40",,,"0.00","0.0",,,"60","35","  310","  310","23.0","29.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-29","11.41",,,"0.00","0.0",,,"61","33","  290","  290","31.1","45.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-30","7.16",,,"0.00","0.0",,,"64","33","  180","  190","17.9","21.9",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-05-01","8.28",,,"0.49","0.0",,,"53","46","   30","  330","15.0","25.1","    1",,,,,,,,,"    1",,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-05-02","4.70",,,"0.00","0.0",,,"56","45","  170","  160","13.0","17.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-05-03","6.49",,,"0.31","0.0",,,"54","50","  160","  160","12.1","17.0","    1",,,,,,,,,"    1","    1",,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-05-04","6.49",,,"0.05","0.0",,,"71","50","  170","  170","17.9","21.9","    1",,,,,,,,,"    1",,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-05-05","4.47",,,"0.02","0.0",,,"69","55","  160","  150","12.1","15.0","    1",,,,,,,,,"    1","    1",,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-05-06","5.37",,,"0.03","0.0",,,"69","49","  180","  190","14.1","17.0","    1",,,,,,,,,"    1","    1",,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-05-07","7.16",,,"0.01","0.0",,,"73","45","  190","  190","21.0","25.1",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-05-08","10.29",,,"0.49","0.0",,,"61","50","  180","  180","21.0","28.0","    1",,,,,,,,,"    1",,,"    1",,,
